cities,geocoded,point,lat,lon
"ST MICHEL VALLOIRE, FRANCE","73450 Valloire, France","(45.165292, 6.428732999999999, 0.0)",45.165292,6.428732999999999
"LE MANS, FRANCE","Le Mans, France","(48.00611000000001, 0.199556, 0.0)",48.00611000000001,0.199556
"LE POULIGUEN, FRANCE","Le Pouliguen, France","(47.269852, -2.425372, 0.0)",47.269852,-2.425372
"AGEN, FRANCE","Agen, France","(44.203142, 0.616363, 0.0)",44.203142,0.616363
"L'ARGENTIERE LES ECRINS (05), FRANCE","L'Argentière-les-Ecrins, La Gare, 05120 L'Argentière-la-Bessée, France","(44.7909631, 6.556394699999999, 0.0)",44.7909631,6.556394699999999
"MEUSE TGV, FRANCE","Meuse TGV, Lieu dit, Le Cugnet, 55220 Les Trois-Domaines, France","(48.9785309, 5.270868, 0.0)",48.9785309,5.270868
"VALENCIENNES, FRANCE","59300 Valenciennes, France","(50.357113, 3.518332, 0.0)",50.357113,3.518332
"ETAPLES LE TOUQUET, FRANCE","Le Touquet, France","(50.521276, 1.590675, 0.0)",50.521276,1.590675
"BIARRITZ, FRANCE","64200 Biarritz, France","(43.4831519, -1.558626, 0.0)",43.4831519,-1.558626
"LA BAULE ESCOUBLAC, FRANCE","44500 La Baule-Escoublac, France","(47.2869183, -2.3913777, 0.0)",47.2869183,-2.3913777
"NICE VILLE, FRANCE","Nice, France","(43.7101728, 7.261953200000001, 0.0)",43.7101728,7.261953200000001
"VITRY LE FRANCOIS GARE, FRANCE","51300 Vitry-le-François, France","(48.726087, 4.585745, 0.0)",48.726087,4.585745
"VICHY, FRANCE","Vichy, France","(46.131859, 3.425488, 0.0)",46.131859,3.425488
"AIME LA PLAGNE, FRANCE","Aime-la-Plagne, 73210 Aime-la-Plagne, France","(45.5804524, 6.6029155, 0.0)",45.5804524,6.6029155
"ST PIERRE DES CORPS, FRANCE","37700 Saint-Pierre-des-Corps, France","(47.3898439, 0.7224790000000001, 0.0)",47.3898439,0.7224790000000001
"SELESTAT, FRANCE","67600 Sélestat, France","(48.259386, 7.454241000000001, 0.0)",48.259386,7.454241000000001
"ANNEMASSE, FRANCE","74100 Annemasse, France","(46.19325300000001, 6.234158, 0.0)",46.19325300000001,6.234158
"EVIAN LES BAINS, FRANCE","74500 Évian-les-Bains, France","(46.401488, 6.590948999999999, 0.0)",46.401488,6.590948999999999
"UZERCHE, FRANCE","19140 Uzerche, France","(45.424066, 1.563457, 0.0)",45.424066,1.563457
"EMBRUN, FRANCE","05200 Embrun, France","(44.564164, 6.495864999999999, 0.0)",44.564164,6.495864999999999
"LILLE FLANDRES, FRANCE","Lille, France","(50.62925, 3.057256, 0.0)",50.62925,3.057256
"THONON LES BAINS, FRANCE","74200 Thonon-les-Bains, France","(46.373565, 6.477634999999999, 0.0)",46.373565,6.477634999999999
"ST AVRE LA CHAMBRE, FRANCE","La Chambre, France","(45.358463, 6.301654, 0.0)",45.358463,6.301654
"TOULOUSE MATABIAU, FRANCE","Matabiau, Toulouse, France","(43.6103756, 1.4495103, 0.0)",43.6103756,1.4495103
"ST BRIEUC, FRANCE","22000 Saint-Brieuc, France","(48.51418, -2.765835, 0.0)",48.51418,-2.765835
"TOULON, FRANCE","Toulon, France","(43.124228, 5.928, 0.0)",43.124228,5.928
"HENDAYE, FRANCE","Hendaye, France","(43.359399, -1.766148, 0.0)",43.359399,-1.766148
"SETE, FRANCE","34200 Sète, France","(43.4078758, 3.7008219, 0.0)",43.4078758,3.7008219
"REMIREMONT, FRANCE","88200 Remiremont, France","(48.015589, 6.591716, 0.0)",48.015589,6.591716
"TARBES, FRANCE","Tarbes, France","(43.23295100000001, 0.078082, 0.0)",43.23295100000001,0.078082
"VALENCE VILLE, FRANCE","26000 Valence, France","(44.933393, 4.89236, 0.0)",44.933393,4.89236
"GRENOBLE, FRANCE","Grenoble, France","(45.188529, 5.724524, 0.0)",45.188529,5.724524
"TOURS, FRANCE","Tours, France","(47.394144, 0.68484, 0.0)",47.394144,0.68484
"MIRAMAS, FRANCE","Miramas, France","(43.588896, 5.002136, 0.0)",43.588896,5.002136
"PORT VENDRES VILLE, FRANCE","66660 Port-Vendres, France","(42.518487, 3.106592, 0.0)",42.518487,3.106592
"ST ETIENNE CHATEAUCREUX, FRANCE","Châteaucreux, 42000 Saint-Étienne, France","(45.441819, 4.3985959, 0.0)",45.441819,4.3985959
"QUIMPERLE, FRANCE","29300 Quimperlé, France","(47.87258600000001, -3.547546, 0.0)",47.87258600000001,-3.547546
"VITRE, FRANCE","35500 Vitré, France","(48.12474599999999, -1.21543, 0.0)",48.12474599999999,-1.21543
"BOURG ST MAURICE, FRANCE","73700 Bourg-Saint-Maurice, France","(45.618598, 6.769547999999999, 0.0)",45.618598,6.769547999999999
"ANTIBES, FRANCE","Antibes, France","(43.58041799999999, 7.125102, 0.0)",43.58041799999999,7.125102
"ANGERS ST LAUD, FRANCE","Gare d'Angers Saint-Laud, 1 Esplanade de la Gare, 49100 Angers, France","(47.4645927, -0.5562092, 0.0)",47.4645927,-0.5562092
"REDON, FRANCE","35600 Redon, France","(47.650742, -2.083938, 0.0)",47.650742,-2.083938
"ST CHRISTOPHE, FRANCE","17220 Saint-Christophe, France","(46.145514, -0.946784, 0.0)",46.145514,-0.946784
"LAMBALLE, FRANCE","Lamballe, 22400 Lamballe-Armor, France","(48.468637, -2.517322, 0.0)",48.468637,-2.517322
"FUTUROSCOPE, FRANCE","Av. René Monory, 86360 Chasseneuil-du-Poitou, France","(46.663434, 0.361279, 0.0)",46.663434,0.361279
"LES ARCS DRAGUIGNAN, FRANCE","83460 Les Arcs, France","(43.4552462, 6.4797829, 0.0)",43.4552462,6.4797829
"CHORGES, FRANCE","05230 Chorges, France","(44.545716, 6.275548000000001, 0.0)",44.545716,6.275548000000001
"ST JEAN DE LUZ CIBOURE, FRANCE","Ciboure, France","(43.387537, -1.675432, 0.0)",43.387537,-1.675432
"MODANE, FRANCE","Modane, France","(45.201491, 6.67292, 0.0)",45.201491,6.67292
"BESANCON Franche Comté TGV, FRANCE","Gare Besançon Franche-Comté TGV, RD1 - Lieu-dit Grand-Bois Le Pasquier, 25870 Auxon, France","(47.307233, 5.9533475, 0.0)",47.307233,5.9533475
"ST MALO, FRANCE","Saint-Malo, France","(48.649337, -2.025674, 0.0)",48.649337,-2.025674
